model,OG,OG,OG,SVD,SVD,SVD,PRUN,PRUN,PRUN
seed,420,893,666,420,893,666,420,893,666
1,0.9817932535882131,0.9766048997639798,0.9804709508167845,0.9734112949441817,0.9718265022417456,0.9745117003760498,0.9793929852659076,0.9761980439478594,0.9778666572647071
10,0.9526438531041056,0.944433109506967,0.9480297997671472,0.9436076911157084,0.9429853303511654,0.9399587774749856,0.9506289352694446,0.9417812541467594,0.9460113631463357
20,0.915106044239937,0.8987582270357579,0.9245658143203053,0.8947675739865468,0.8969819960726578,0.9253153945981123,0.9160231443737362,0.8959593230904076,0.9224794701224047
30,0.8860438160563,0.9173343771195707,0.8741051611073469,0.8909098182739795,0.9115923966010329,0.8553985995008743,0.8879873572831002,0.9162664130533517,0.8721151353909583
40,0.8527793680405683,0.8455882730917558,0.8390782343420117,0.8583754381661726,0.8567313105034691,0.824538522350279,0.8522243104343834,0.8395229058804109,0.8357454816494309
50,0.8557737422499838,0.831922730268152,0.8376344768795032,0.8574606516089952,0.8305994037020943,0.8196892743508514,0.849197751720861,0.8307757282934561,0.8352116647760566
60,0.7986149589821242,0.7536470924635048,0.8017247228592103,0.7873984790528712,0.7557778635910698,0.8141954424152323,0.7970078594076062,0.7489945789119846,0.8017153098834936
70,0.7368372683592338,0.7754720739460202,0.7453096090627304,0.7345229832486889,0.752263322596254,0.7398514479394533,0.7349829436197116,0.7695626346829973,0.7423529491322872
80,0.7713142890502682,0.7285530847931165,0.7444107410212196,0.7505337987902206,0.7144886443252262,0.7479206214725315,0.7724870886495965,0.7289783721395503,0.7431489180699892
90,0.7287008810709502,0.7293485817110652,0.7946723565573723,0.7306454413078842,0.7244855632938108,0.7818907721665077,0.7278086955245922,0.7272723448559578,0.7957624779383446
100,0.7217456260984415,0.7328356746649003,0.712516250769947,0.7169933215293608,0.7291023247389269,0.7063672139897204,0.7188481458524513,0.7301337949572334,0.7110021976194852
200,0.6454840247366278,0.6371734235869013,0.6580682499683773,0.6289060679393925,0.6369314407058952,0.6571473993909176,0.6441357369816948,0.6360581113732535,0.6567867048420107
300,0.6201017232384046,0.5971301431915854,0.6152784583731972,0.6181302782228092,0.5944122893051844,0.6169132142111435,0.621293837554403,0.5983763071672609,0.6165560517150097
400,0.5927270511123653,0.5904577000556192,0.5994433344638123,0.5826439116945933,0.5817471503699824,0.5872518635924795,0.5911996637356498,0.5918486487319841,0.598302086028456
500,0.46760174995298587,0.5604814593341959,0.41334185026765574,0.4711456390407832,0.5507429979136236,0.3840497624035131,0.46909330953998535,0.5598931108574725,0.4131734872120118
600,0.4581484951287958,0.5377509429117429,0.5286809735161979,0.4431363562034059,0.5541115613768294,0.5400634995227741,0.45795355682969696,0.5377296750672922,0.5278301796480028
700,0.5149479667911883,0.4668309344964517,0.4883987264004863,0.4985647287164787,0.4578325338713361,0.4668175179730274,0.5132499346792456,0.46438360827370134,0.4846564922191166
800,0.5854684966113504,0.5295024536403773,0.5349256660327985,0.5848241689848843,0.5160054819697487,0.5282120105335049,0.585509173189206,0.5285418032100946,0.5330815889674024
900,0.5272602075955845,0.4719657047597866,0.4483590365553382,0.5245155162002735,0.4840004378849054,0.4440944308191703,0.5266232989364533,0.4699986430693635,0.4458088446917581
1000,0.4553308450838945,0.4180808032244322,0.4159753270815778,0.4648678511950395,0.4103094123124902,0.41657366659163264,0.4548237783553813,0.4171945410701246,0.4161961548051645
