model,OG,OG,OG,SVD,SVD,SVD,PRUN,PRUN,PRUN
seed,420,893,666,420,893,666,420,893,666
1,0.00037368868600060523,0.0003718673729999864,0.00037233177999951295,0.0005803247450003255,0.0004773045309993904,0.0004721996770003898,0.0003729699049999908,0.0004208908439995866,0.0003769586399994296
10,0.00037692922399946836,0.00041762289100006456,0.0004608199569993303,0.0004736625620007544,0.0005457607690004806,0.00046865293300106715,0.00039029563999974924,0.0003782056610016298,0.00037440043700007663
20,0.00038964113200017894,0.0003786400329991011,0.0003749171059989749,0.0004726866569999402,0.0004810140230001707,0.00047340256499956015,0.0004456443319995742,0.0004548542210013693,0.0003934872069985431
30,0.0003747572280008171,0.00038136287999986963,0.0003798029919998953,0.0004609702349989675,0.00046993793799993,0.0004687535540015233,0.00037415523800154917,0.0004136300469999696,0.00042804085399984613
40,0.0003840735140001925,0.0004403271549999772,0.00038005396200060205,0.00047030998499940325,0.00047004662700055635,0.00045676874199853046,0.00036747940799978097,0.0003775168009997287,0.0003715729440009454
50,0.00037721920299918564,0.00038289643600001,0.00038053998699979276,0.0004919047950006643,0.0004617074790003244,0.00046831743800066763,0.000372868013999323,0.00037595635400066384,0.000378483287000563
60,0.0003834229329986556,0.0003988906450013019,0.0004279675239995413,0.0004746777630007273,0.00047289075500157196,0.0004798016889999417,0.00037195649199929905,0.00037964527100120906,0.00037775847500051896
70,0.0003804307720001816,0.00037747172999843317,0.00037307315399993967,0.0004658461210001406,0.00047081283700026687,0.0005507909469997685,0.00036897775100078433,0.0003769532459991751,0.0003927496679989417
80,0.00037028651400032684,0.00036806793399955497,0.00037731127599909084,0.0004697870430009061,0.0005599862130002294,0.0004763003930002014,0.0003705671789994085,0.0003766088630000013,0.0003734964260002016
90,0.0003824249059998692,0.00036872802800098724,0.0003825536029999057,0.0005180054129996279,0.00047363614400092044,0.00047143547300038336,0.0003710710180002934,0.00036746632900030817,0.00036763387999963015
100,0.00045478188999913984,0.00037747671400029505,0.00037603333600054613,0.0005430590119995031,0.0004879491470001085,0.00046595153500129526,0.00038259748500058774,0.00036887510199994723,0.0003979391080010828
200,0.00044144490500002575,0.0003730165890010539,0.0003780597400000261,0.0004759349579999252,0.0005332387059988833,0.0004601682529992104,0.00045142771000064385,0.0004298782880014187,0.00037458417500056386
300,0.00037024895300055504,0.00037901368299935714,0.00037195238200001766,0.0005149348920003832,0.00046364784199977294,0.00046195907599940253,0.0003711530489999859,0.00037230499500037696,0.0003693137989994284
400,0.000460584475998985,0.0003725351140001294,0.00037841862800087254,0.00046835742300027053,0.000478152420000697,0.0004982526120002149,0.00043810281100013527,0.00038222300300003555,0.0003968500739993033
500,0.00037266418599938336,0.0003723024320006516,0.00037450101300055393,0.00048550800099837944,0.00046673976600141034,0.0004643850089996704,0.0003753385939999134,0.0003761711400002241,0.00036828998400051204
600,0.0004593786320001527,0.0004058809440011828,0.0004199506120003207,0.0004759085679997952,0.00046517332699841065,0.00046357062999959455,0.00037138309299916726,0.0003848513680004544,0.00038710485000046903
700,0.0003854512919988338,0.00037047067000094103,0.00038433970500045687,0.00046700130199860726,0.0004660912199997256,0.00047639552799955706,0.0003749516569987463,0.0003698637429988594,0.00037590245899991713
800,0.000386009637000825,0.0003689044040002045,0.00037433428999975146,0.0005221562189999531,0.0004747702519998711,0.00047385762200065075,0.0003871588030015118,0.0003753589460011426,0.0004196584349992918
900,0.00037377062899940936,0.00038139641900124846,0.00037692957499893965,0.0005013831090000167,0.00048490131799917434,0.00047186599300039233,0.00037940944299953114,0.00037903353900037474,0.000390790092998941
1000,0.00038058024299971295,0.00039977337699929194,0.0003782368920001318,0.0004634418369987543,0.0004997504410002876,0.0005257284330000403,0.00037878531899878,0.00036739147399930514,0.00036578938200000264
